Economy,2017,2018,2019,2020,2021,2022,2023
Grenada,0.54,0.61,0.7,0.73,0.71,0.8,
Guatemala,0.38,0.42,0.44,0.48,0.51,0.54,
Guinea,0.19,0.22,0.23,0.29,0.31,0.34,
Guinea-Bissau,0.15,0.16,0.23,0.28,0.29,0.32,
Guyana,0.43,0.51,0.61,0.73,0.81,0.85,
Haiti,0.27,0.33,0.39,,,,
Honduras,0.32,0.36,0.39,0.45,0.52,0.6,
Hong Kong,0.89,0.91,0.92,0.92,0.93,0.96,
Hungary,0.77,0.76,0.8,0.85,0.89,0.89,
Iceland,0.98,0.99,1,1,1,1,
India,0.18,0.2,0.3,0.43,,0.48,
Indonesia,0.32,0.4,0.48,0.54,0.62,0.67,
Iran,0.64,0.7,0.73,0.76,0.79,0.82,
Iraq,0.49,0.34,0.44,0.54,0.65,0.79,
Ireland,0.84,0.87,0.87,0.92,0.95,0.96,
Israel,0.82,0.84,0.87,0.9,0.9,0.92,
Italy,0.63,0.74,0.68,0.71,0.75,0.85,
Jamaica,0.55,0.68,0.71,0.76,0.82,0.85,
Japan,0.92,0.89,0.93,0.9,0.83,0.85,
Jordan,0.65,0.65,0.7,0.78,0.86,0.91,
Kazakhstan,0.76,0.79,0.82,0.86,0.91,0.92,
Kenya,0.18,0.2,0.23,0.28,0.38,0.41,
Kiribati,0.25,0.33,0.43,0.52,0.54,0.54,
North Korea,0,0,0,0,0,0,0
South Korea,0.95,0.96,0.96,0.97,0.98,0.97,
Kosovo,0.84,0.89,,,,,
Kuwait,0.98,1,1,0.99,1,1,1
Kyrgyzstan,0.51,0.63,0.64,0.72,0.75,0.8,
Laos,0.26,0.36,0.47,0.54,0.62,0.66,
Latvia,0.8,0.84,0.86,0.89,0.91,0.91,0.92
Lebanon,0.78,0.81,0.84,0.88,0.88,0.9,
Lesotho,0.39,0.41,0.42,0.4,0.44,0.47,
Liberia,0.16,0.19,0.24,0.28,0.28,0.3,
Libya,,,,0.88,0.84,0.88,
Liechtenstein,0.956,0.956,0.956,0.956,0.956,0.956,
Lithuania,0.78,0.8,0.82,0.83,0.87,0.88,
Luxembourg,0.97,0.97,0.97,0.99,0.99,0.98,0.99
Macao,0.83,0.84,0.87,0.88,0.89,0.9,
Madagascar,0.06,0.09,0.12,0.16,0.18,0.21,
Malawi,0.07,0.08,0.13,0.22,0.27,0.28,
Malaysia,0.8,0.81,0.84,0.9,0.97,0.97,
Maldives,0.65,0.71,0.78,0.79,0.85,0.84,
Mali,0.19,0.21,0.22,0.28,0.31,0.33,
Malta,0.81,0.82,0.86,0.87,0.88,0.92,
Marshall Islands,0.39,,,0.71,0.72,0.73,
Mauritania,0.24,0.35,0.42,0.41,0.44,0.44,
Mauritius,0.55,0.59,0.62,0.68,0.72,0.76,
Mexico,0.53,0.57,0.7,0.72,0.76,0.79,
Micronesia,0.35,0.37,0.38,0.39,0.4,0.41,
Moldova,0.5,0.5,0.58,0.58,0.61,0.64,
Monaco,0.97,,0.83,0.99,0.98,0.98,
Mongolia,0.24,0.47,0.51,0.63,0.82,0.84,
Montenegro,0.71,0.72,0.74,0.78,0.82,0.88,
Morocco,0.62,0.65,0.84,0.84,0.88,0.91,
Mozambique,0.08,0.11,0.15,0.18,0.2,0.21,
Myanmar,0.24,0.34,0.48,,,,
Namibia,0.37,0.43,0.5,0.58,0.61,0.62,
Nauru,0.62,,0.75,0.82,0.83,0.83,
Nepal,0.24,0.29,0.35,0.38,0.42,0.5,
Netherlands,0.93,0.92,0.93,0.91,0.92,0.93,
New Caledonia,0.82,,,,,,
New Zealand,0.88,0.89,0.9,0.95,0.96,0.96,
Nicaragua,0.3,0.38,0.45,0.55,0.55,0.61,
Niger,0.1,,0.17,0.14,0.15,0.17,
Nigeria,0.26,0.28,0.3,0.32,0.32,0.36,
North Macedonia,0.75,0.79,0.81,0.81,0.83,0.84,
Norway,0.96,0.97,0.98,0.95,0.99,0.99,
Oman,0.8,0.86,0.9,0.95,0.96,0.98,
Pakistan,0.14,0.15,0.17,0.19,0.25,0.33,
Panama,0.6,0.62,0.64,0.73,0.73,0.74,
Papua New Guinea,0.11,,0.2,0.24,0.26,0.27,
Paraguay,0.61,0.65,0.69,0.74,0.77,0.76,
Peru,0.51,0.55,0.6,0.65,0.71,0.75,
Philippines,0.42,0.44,0.43,0.54,0.63,0.72,
Poland,0.76,0.78,0.8,0.83,0.85,0.87,
Portugal,0.74,0.75,0.75,0.78,0.82,0.85,
Puerto Rico,0.69,0.71,0.78,,0.85,,
Qatar,0.97,1,1,1,1,1,
Romania,0.64,0.71,0.74,0.79,0.84,0.86,
Russia,0.76,0.81,0.83,0.85,0.88,0.9,
Rwanda,0.17,0.19,0.21,0.24,0.29,0.34,
Saint Kitts and Nevis,0.68,0.69,0.69,0.7,0.69,0.77,
Saint Lucia,0.66,0.69,0.73,0.76,0.75,0.74,
Saint Vincent and the Grenadines,0.54,0.56,0.74,0.77,0.79,0.78,
Samoa,0.39,0.49,0.61,0.7,0.76,0.75,
San Marino,0.6,,0.68,0.78,0.82,0.85,
Sao Tome and Principe,0.33,0.38,0.44,0.52,0.56,0.57,
Saudi Arabia,0.94,0.93,0.96,0.98,1,1,
Senegal,0.3,0.35,0.43,0.53,0.55,0.6,
Serbia,0.7,0.73,0.77,0.78,0.81,0.84,
Seychelles,0.63,0.69,0.77,0.85,0.81,0.87,
Sierra Leone,0.13,0.16,0.21,0.28,0.28,0.3,
Singapore,0.85,0.88,0.89,0.92,0.97,0.96,
Slovakia,0.82,0.8,0.83,0.9,0.89,0.87,
Slovenia,0.79,0.8,0.83,0.87,0.89,0.89,
Solomon Islands,0.15,0.21,0.29,0.4,0.47,0.45,
Somaliland,0.02,,,0.15,0.2,0.28,
South Africa,0.56,0.62,0.7,0.72,0.74,0.75,
S. Sudan,0.04,0.05,0.07,0.09,0.1,0.12,
Spain,0.85,0.86,0.91,0.93,0.94,0.95,
Sri Lanka,0.25,0.28,0.32,0.36,0.45,0.5,
State of Palestine,0.63,0.64,0.71,0.76,0.82,0.89,
Sudan,0.19,0.25,0.26,0.26,0.28,0.29,
Suriname,0.49,0.55,0.62,0.7,0.72,0.76,
Sweden,0.93,0.89,0.95,0.95,0.95,0.95,0.96
Switzerland,0.9,0.92,0.93,0.94,0.96,0.97,
Syrian Arab Republic,0.33,0.34,0.35,,,,
Taiwan,0.83,0.86,0.89,0.89,0.88,0.86,
Tajikistan,0.22,,,0.28,0.28,0.36,
Tanzania,0.16,0.17,0.18,0.26,0.3,0.32,
Thailand,0.53,0.57,0.67,0.78,0.85,0.88,
Timor-Leste,0.24,0.28,0.28,0.32,0.36,0.41,
Togo,0.12,0.16,0.21,0.29,0.33,0.38,
Tonga,0.46,,,,0.58,,
Trinidad and Tobago,0.71,0.73,0.75,0.77,0.79,0.8,
Tunisia,0.56,0.64,0.67,0.69,0.72,0.74,
Turkmenistan,0.21,,,,,,
Tuvalu,0.35,,,0.75,0.82,0.81,
Turkey,0.65,0.71,0.74,0.78,0.81,0.83,0.86
Uganda,,,,0.07,0.1,,
Ukraine,0.59,0.63,0.7,0.75,0.79,,
United Arab Emirates,0.95,0.99,0.99,1,1,1,
United Kingdom,0.9,0.91,0.93,0.95,0.95,0.95,
United States of America,0.87,0.89,0.89,0.97,0.97,0.97,
Uruguay,0.7,0.81,0.83,0.86,0.88,0.9,
Uzbekistan,0.49,0.55,0.7,0.71,0.77,0.84,
Vanuatu,0.31,0.4,0.51,0.64,0.69,0.7,
Vatican,,,0.68,0.78,0.82,0.85,
Venezuela,0.62,,,,,,
Viet Nam,0.58,0.7,0.69,0.7,0.74,0.79,
Virgin Islands,0.64,,,,,,
Yemen,0.27,,,0.14,0.15,0.18,
Zambia,0.12,0.14,0.19,0.25,0.27,0.31,
Zimbabwe,0.24,0.25,0.27,0.29,0.33,0.33,
