Economy,Indicator,2017,2018,2019,2020,2021,2022,2023
Bangladesh,At least LTE/WiMAX,0.67,0.79,0.82,0.98,0.98,0.99,
Bangladesh,At least 5G,,,,,0.00,,
Barbados,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Barbados,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Barbados,At least LTE/WiMAX,1.00,1.00,1.00,1.00,0.99,0.99,
Barbados,At least 5G,,,,,0.00,,
Belarus,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Belarus,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Belarus,At least LTE/WiMAX,0.69,0.76,0.76,0.90,0.97,0.98,
Belarus,At least 5G,,,,,0.00,0.00,
Belgium,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Belgium,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Belgium,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Belgium,At least 5G,,,,,0.04,0.30,
Belize,At least 2G,0.90,0.93,0.98,0.98,0.98,,
Belize,At least 3G,0.90,0.93,0.98,0.98,0.98,,
Belize,At least LTE/WiMAX,0.65,0.68,0.70,0.70,0.70,,
Belize,At least 5G,,,,,0.00,,
Benin,At least 2G,0.98,0.98,0.98,0.98,0.98,0.98,
Benin,At least 3G,0.65,0.80,0.80,0.80,0.80,0.80,
Benin,At least LTE/WiMAX,0.40,0.40,0.45,0.46,0.46,0.46,
Benin,At least 5G,,,,,0.00,0.00,
Bermuda,At least 2G,1.00,,1.00,1.00,1.00,,
Bermuda,At least 3G,1.00,1.00,1.00,1.00,1.00,,
Bermuda,At least LTE/WiMAX,1.00,,1.00,1.00,1.00,,
Bermuda,At least 5G,,,,,0.00,,
Bhutan,At least 2G,0.98,0.98,0.98,0.98,0.98,0.98,
Bhutan,At least 3G,0.88,0.90,0.95,0.95,0.95,0.97,
Bhutan,At least LTE/WiMAX,0.55,0.60,0.78,0.80,0.80,0.97,
Bhutan,At least 5G,,,,,,0.37,
Bolivia,At least 2G,0.98,1.00,1.00,1.00,1.00,,
Bolivia,At least 3G,0.82,0.83,0.92,0.92,0.88,,
Bolivia,At least LTE/WiMAX,0.75,–,0.75,0.75,0.75,,
Bolivia,At least 5G,,,,,0.00,,
Bosnia and Herzegovina,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Bosnia and Herzegovina,At least 3G,0.95,0.95,0.95,0.95,0.97,0.99,
Bosnia and Herzegovina,At least LTE/WiMAX,0.00,0.00,0.82,0.82,0.93,0.99,
Bosnia and Herzegovina,At least 5G,,,,,0.00,,
Botswana,At least 2G,0.97,0.97,0.97,0.98,0.98,0.98,
Botswana,At least 3G,0.80,0.95,0.96,0.97,0.98,0.98,
Botswana,At least LTE/WiMAX,0.64,0.65,0.68,0.77,0.88,0.91,
Botswana,At least 5G,,,,,,0.23,
Brazil,At least 2G,0.96,0.96,0.91,0.90,0.90,0.93,
Brazil,At least 3G,0.96,0.96,0.91,0.90,0.90,0.92,
Brazil,At least LTE/WiMAX,0.83,0.83,0.89,0.88,0.88,0.92,
Brazil,At least 5G,,,,,0.32,0.34,
British Virgin Islands,At least 2G,,1.00,1.00,1.00,1.00,,
British Virgin Islands,At least 3G,0.84,1.00,1.00,1.00,1.00,,
British Virgin Islands,At least LTE/WiMAX,0.83,0.99,1.00,1.00,1.00,,
British Virgin Islands,At least 5G,,,,,0.00,,
Brunei Darussalam,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Brunei Darussalam,At least 3G,0.93,0.96,0.96,0.96,0.97,0.99,
Brunei Darussalam,At least LTE/WiMAX,0.90,0.95,0.95,0.95,0.97,0.99,
Brunei Darussalam,At least 5G,,,,,,,
Bulgaria,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Bulgaria,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Bulgaria,At least LTE/WiMAX,0.99,1.00,1.00,1.00,1.00,1.00,
Bulgaria,At least 5G,,,,,0.58,0.86,
Burkina Faso,At least 2G,0.93,0.92,0.92,0.92,0.93,,
Burkina Faso,At least 3G,0.28,0.33,0.48,0.48,0.53,,
Burkina Faso,At least LTE/WiMAX,0.00,0.00,0.27,0.27,0.37,,
Burkina Faso,At least 5G,,,,,0.00,,
Burundi,At least 2G,0.50,0.95,0.97,0.97,0.97,0.97,
Burundi,At least 3G,0.39,0.45,0.48,0.51,0.51,0.51,
Burundi,At least LTE/WiMAX,0.11,0.21,0.25,0.27,0.32,0.32,
Burundi,At least 5G,,,,0.00,0.00,0.00,
Cabo Verde,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Cabo Verde,At least 3G,0.91,0.91,0.94,0.94,0.94,0.94,
Cabo Verde,At least LTE/WiMAX,0.00,,0.79,0.79,0.80,0.80,
Cabo Verde,At least 5G,,,,,0.00,,
Cambodia,At least 2G,0.99,0.99,0.99,0.99,1.00,1.00,
Cambodia,At least 3G,0.84,0.85,0.85,0.92,0.92,0.92,
Cambodia,At least LTE/WiMAX,0.58,0.80,0.80,0.92,0.92,0.92,
Cambodia,At least 5G,,,,,0.00,,
Cameroon,At least 2G,0.85,0.72,0.79,0.77,0.80,0.80,
Cameroon,At least 3G,,,0.50,0.60,0.65,,
Cameroon,At least LTE/WiMAX,,,0.50,0.60,0.65,,
Cameroon,At least 5G,,,,,0.00,,
Canada,At least 2G,0.99,1.00,1.00,1.00,1.00,1.00,
Canada,At least 3G,0.99,1.00,1.00,1.00,1.00,1.00,
Canada,At least LTE/WiMAX,0.99,0.99,1.00,1.00,0.99,1.00,
Canada,At least 5G,,,,,0.88,0.91,
Cayman Islands,At least 2G,1.00,–,1.00,1.00,1.00,,
Cayman Islands,At least 3G,1.00,–,1.00,1.00,1.00,,
Cayman Islands,At least LTE/WiMAX,1.00,–,1.00,1.00,1.00,,
Cayman Islands,At least 5G,,,,,0.00,,
Central African Rep.,At least 2G,0.59,0.57,0.56,0.56,0.56,,
Central African Rep.,At least 3G,0.31,0.38,0.41,0.41,0.48,,
Central African Rep.,At least LTE/WiMAX,,,0.00,0.00,0.00,,
Central African Rep.,At least 5G,,,,,0.00,,
Chad,At least 2G,0.86,0.86,0.86,0.86,0.86,0.87,
Chad,At least 3G,0.32,0.42,0.43,0.48,0.59,0.68,
Chad,At least LTE/WiMAX,0.09,0.12,0.19,0.22,0.22,0.36,
Chad,At least 5G,,0.00,0.00,0.00,0.00,0.00,
Chile,At least 2G,0.96,0.99,0.99,0.99,0.99,0.99,
Chile,At least 3G,0.95,0.95,0.95,0.95,0.95,0.95,
Chile,At least LTE/WiMAX,0.88,,0.88,0.88,0.88,0.89,
Chile,At least 5G,,,,,,0.79,
China,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
China,At least 3G,0.98,0.99,1.00,1.00,1.00,1.00,
China,At least LTE/WiMAX,0.98,0.99,1.00,1.00,1.00,1.00,
China,At least 5G,,,,,0.25,0.80,
Cocos Keeling Islands,At least 2G,,,,,,,
Cocos Keeling Islands,At least 3G,,,,,,,
Cocos Keeling Islands,At least LTE/WiMAX,,,,,,,
Cocos Keeling Islands,At least 5G,,,,,0.00,,
Colombia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Colombia,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Colombia,At least LTE/WiMAX,0.96,0.98,0.98,0.98,1.00,1.00,
Colombia,At least 5G,,,,,,0.00,
Comoros,At least 2G,0.91,0.91,0.86,0.92,0.92,0.92,
Comoros,At least 3G,0.90,0.90,0.80,0.84,0.87,0.87,
Comoros,At least LTE/WiMAX,0.83,0.83,0.80,0.81,0.85,0.85,
Comoros,At least 5G,,,,,0.00,,
Congo,At least 2G,0.75,,0.75,0.75,0.88,,
Congo,At least 3G,,,0.65,0.65,0.87,,
Congo,At least LTE/WiMAX,0.05,,,,0.85,,
Congo,At least 5G,,,,,0.00,,
Cook Islands,At least 2G,1.00,,1.00,1.00,1.00,,
Cook Islands,At least 3G,0.55,,0.55,0.55,0.55,,
Cook Islands,At least LTE/WiMAX,0.55,,0.55,0.55,0.55,,
Cook Islands,At least 5G,,,,,0.00,,
Costa Rica,At least 2G,0.97,0.97,0.98,0.98,1.00,1.00,
Costa Rica,At least 3G,0.97,0.97,0.98,0.94,1.00,1.00,
Costa Rica,At least LTE/WiMAX,0.82,0.87,0.94,0.93,1.00,1.00,
Costa Rica,At least 5G,,0.00,0.00,0.00,0.00,0.00,
Croatia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Croatia,At least 3G,0.99,0.99,1.00,1.00,1.00,1.00,
Croatia,At least LTE/WiMAX,0.98,0.99,0.99,1.00,1.00,1.00,
Croatia,At least 5G,,,,,0.48,,
Cuba,At least 2G,0.85,0.85,0.86,0.86,0.87,0.88,
Cuba,At least 3G,0.47,0.67,0.68,0.71,0.73,0.74,
Cuba,At least LTE/WiMAX,0.00,0.00,0.22,0.40,0.49,0.50,
Cuba,At least 5G,,,,,0.00,0.00,
Curacao,At least 2G,1.00,1.00,1.00,1.00,1.00,0.99,
Curacao,At least 3G,1.00,1.00,1.00,1.00,1.00,0.99,
Curacao,At least LTE/WiMAX,0.70,0.80,0.90,0.90,1.00,0.99,
Curacao,At least 5G,,,,,0.00,0.00,
Cyprus,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Cyprus,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Cyprus,At least LTE/WiMAX,0.96,0.98,1.00,1.00,1.00,1.00,
Cyprus,At least 5G,,,,,0.96,1.00,
Czech Republic,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Czech Republic,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Czech Republic,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Czech Republic,At least 5G,,,,0.00,0.67,0.85,
Côte d'Ivoire,At least 2G,0.96,0.97,0.98,0.98,0.98,0.98,
Côte d'Ivoire,At least 3G,0.67,0.73,0.94,0.95,0.96,0.97,
Côte d'Ivoire,At least LTE/WiMAX,0.47,0.55,0.59,0.60,0.65,0.91,
Côte d'Ivoire,At least 5G,,0.00,0.00,0.00,0.00,0.00,
Dem. People's Rep. of Korea,At least 2G,0.95,,0.95,0.95,0.95,,
Dem. People's Rep. of Korea,At least 3G,,,,,,,
Dem. People's Rep. of Korea,At least LTE/WiMAX,0.00,,,,0.00,,
Dem. People's Rep. of Korea,At least 5G,,,,,0.00,,
Dem. Rep. of the Congo,At least 2G,0.50,0.52,0.54,0.70,0.73,0.75,
Dem. Rep. of the Congo,At least 3G,0.40,0.50,0.54,0.54,0.55,0.55,
Dem. Rep. of the Congo,At least LTE/WiMAX,0.00,0.00,,0.40,0.40,0.45,
Dem. Rep. of the Congo,At least 5G,,,,,0.00,,
Denmark,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Denmark,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Denmark,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Denmark,At least 5G,,,,0.98,0.99,1.00,
Djibouti,At least 2G,0.85,0.85,0.90,0.90,0.90,0.90,
Djibouti,At least 3G,0.70,0.70,0.75,0.75,0.90,0.90,
Djibouti,At least LTE/WiMAX,0.00,0.05,0.50,0.70,0.76,0.76,
Djibouti,At least 5G,,,,0.00,0.00,0.00,
Dominica,At least 2G,0.95,1.00,1.00,1.00,1.00,,
Dominica,At least 3G,0.95,0.95,0.95,0.97,1.00,,
Dominica,At least LTE/WiMAX,0.67,0.95,0.95,0.95,1.00,,
Dominica,At least 5G,,,,,0.00,,
Dominican Rep.,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Dominican Rep.,At least 3G,0.99,0.99,1.00,1.00,1.00,0.99,
Dominican Rep.,At least LTE/WiMAX,0.90,0.94,0.95,0.97,0.98,0.98,
Dominican Rep.,At least 5G,,,,,0.06,0.53,
Ecuador,At least 2G,0.97,0.95,0.96,0.96,0.96,0.96,
Ecuador,At least 3G,0.92,0.93,0.94,0.95,0.95,0.96,
Ecuador,At least LTE/WiMAX,0.59,0.71,0.83,0.91,0.93,0.94,
Ecuador,At least 5G,,,,,0.00,,
Egypt,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Egypt,At least 3G,0.99,0.99,0.99,0.99,1.00,1.00,
Egypt,At least LTE/WiMAX,0.61,0.89,0.95,0.96,0.98,0.98,
Egypt,At least 5G,,,,,0.00,0.00,
El Salvador,At least 2G,0.97,0.97,0.98,0.98,0.98,0.98,
El Salvador,At least 3G,0.86,0.86,0.87,0.87,0.92,0.92,
El Salvador,At least LTE/WiMAX,0.52,0.68,0.68,0.68,0.76,0.76,
El Salvador,At least 5G,,,,,0.00,,
Equatorial Guinea,At least 2G,0.70,0.70,0.70,0.70,0.80,0.80,
Equatorial Guinea,At least 3G,0.50,0.60,0.60,0.60,0.65,0.65,
Equatorial Guinea,At least LTE/WiMAX,0.00,,,,0.65,0.65,
Equatorial Guinea,At least 5G,,,,,0.00,0.00,
Eritrea,At least 2G,0.85,,0.85,0.85,0.85,,
Eritrea,At least 3G,0.00,,,,0.35,,
Eritrea,At least LTE/WiMAX,0.00,,,,0.00,,
Eritrea,At least 5G,,,,,0.00,,
Estonia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Estonia,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Estonia,At least LTE/WiMAX,0.99,0.99,0.99,0.99,0.99,0.99,
Estonia,At least 5G,,,,,0.25,0.30,
Eswatini,At least 2G,0.95,0.98,0.99,0.99,0.99,0.99,
Eswatini,At least 3G,0.88,0.88,0.88,0.88,0.99,0.99,
Eswatini,At least LTE/WiMAX,0.30,0.37,0.39,0.61,0.80,0.81,
Eswatini,At least 5G,,,,,0.00,0.00,
Ethiopia,At least 2G,0.97,–,0.97,0.97,0.97,0.99,
Ethiopia,At least 3G,0.85,–,0.85,0.85,0.85,0.99,
Ethiopia,At least LTE/WiMAX,0.07,–,0.07,0.07,0.10,0.33,
Ethiopia,At least 5G,,,,,,0.00,
Falkland (Malvinas) Is.,At least 2G,,,,,0.96,,
Falkland (Malvinas) Is.,At least 3G,,,,,,,
Falkland (Malvinas) Is.,At least LTE/WiMAX,,,,,,,
Falkland (Malvinas) Is.,At least 5G,,,,,0.00,,
Faroe Islands,At least 2G,1.00,1.00,1.00,1.00,1.00,,
Faroe Islands,At least 3G,1.00,1.00,1.00,1.00,1.00,,
Faroe Islands,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,,
Faroe Islands,At least 5G,,0.00,0.00,0.00,0.00,,
Fiji,At least 2G,0.96,0.98,0.98,0.98,0.98,,
Fiji,At least 3G,0.96,0.94,0.95,0.96,0.96,,
Fiji,At least LTE/WiMAX,,0.75,0.76,0.80,0.80,,
Fiji,At least 5G,,0.00,0.00,0.00,0.00,,
Finland,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Finland,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Finland,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Finland,At least 5G,,,,,0.95,0.98,
France,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
France,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
France,At least LTE/WiMAX,0.98,0.99,0.99,0.99,0.99,0.99,
France,At least 5G,,,,,0.80,,
French Guiana,At least 2G,,,,,,,
French Guiana,At least 3G,,,0.85,0.85,0.85,,
French Guiana,At least LTE/WiMAX,,,,,,,
French Guiana,At least 5G,,,,,,,
French Polynesia,At least 2G,0.98,0.98,0.98,0.98,0.98,0.98,
French Polynesia,At least 3G,0.85,0.89,0.89,0.89,0.90,0.90,
French Polynesia,At least LTE/WiMAX,0.58,0.89,0.89,0.89,0.90,0.90,
French Polynesia,At least 5G,,,,,0.00,,
Gabon,At least 2G,0.98,0.99,0.99,0.99,0.99,0.99,
Gabon,At least 3G,0.95,0.97,0.97,0.98,0.98,0.98,
Gabon,At least LTE/WiMAX,0.95,0.97,0.97,0.98,0.98,0.98,
Gabon,At least 5G,,,,,0.00,,
Gambia,At least 2G,0.96,0.98,0.98,0.98,0.98,,
Gambia,At least 3G,0.86,0.88,0.88,0.88,0.88,,
Gambia,At least LTE/WiMAX,0.07,0.08,0.30,0.50,0.55,,
Gambia,At least 5G,,,,,0.00,,
Georgia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Georgia,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Georgia,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Georgia,At least 5G,,,,,0.00,0.00,
Germany,At least 2G,0.99,0.99,0.99,1.00,1.00,1.00,
Germany,At least 3G,,,0.99,1.00,1.00,1.00,
Germany,At least LTE/WiMAX,0.96,0.98,0.99,1.00,1.00,1.00,
Germany,At least 5G,,,,,0.91,0.95,
Ghana,At least 2G,0.97,0.97,0.97,0.97,0.97,0.97,
Ghana,At least 3G,0.80,0.80,0.96,0.96,0.96,0.96,
Ghana,At least LTE/WiMAX,0.35,0.35,0.68,0.68,0.68,0.68,
Ghana,At least 5G,,,,0.00,0.00,0.00,
Gibraltar,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Gibraltar,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Gibraltar,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Gibraltar,At least 5G,,,,1.00,1.00,1.00,
Greece,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Greece,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Greece,At least LTE/WiMAX,0.98,0.99,0.99,0.99,0.99,0.99,
Greece,At least 5G,,,,,0.60,0.89,
Greenland,At least 2G,1.00,1.00,1.00,1.00,1.00,,
Greenland,At least 3G,0.88,1.00,1.00,1.00,1.00,,
Greenland,At least LTE/WiMAX,0.56,1.00,1.00,1.00,1.00,,
Greenland,At least 5G,,,,,0.00,,
Grenada,At least 2G,0.82,–,0.82,0.98,0.98,,
Grenada,At least 3G,0.82,–,0.82,0.95,0.99,,
Grenada,At least LTE/WiMAX,0.82,–,0.82,0.95,0.99,,
Grenada,At least 5G,,,,,0.00,,
Guam,At least 2G,,,,,,,
Guam,At least 3G,,,0.93,0.93,0.93,,
Guam,At least LTE/WiMAX,,,0.83,0.83,0.83,,
Guam,At least 5G,,,,,0.19,,
Guatemala,At least 2G,,,1.00,1.00,1.00,1.00,
Guatemala,At least 3G,0.95,0.95,0.95,0.95,0.95,0.95,
Guatemala,At least LTE/WiMAX,0.64,0.78,0.86,0.88,0.88,0.89,
Guatemala,At least 5G,,,,,0.00,0.01,
Guernsey,At least 2G,,,,,,,
Guernsey,At least 3G,,,,,0.99,,
Guernsey,At least LTE/WiMAX,,,,,0.74,,
Guernsey,At least 5G,,,,,0.00,,
Guinea,At least 2G,,0.79,0.87,0.88,0.88,,
Guinea,At least 3G,,0.31,0.40,0.40,0.40,,
Guinea,At least LTE/WiMAX,,0.19,0.29,0.29,0.29,,
Guinea,At least 5G,,,,,0.00,,
Guinea-Bissau,At least 2G,0.91,0.92,0.97,1.00,1.00,1.00,
Guinea-Bissau,At least 3G,,,0.30,0.33,0.43,0.48,
Guinea-Bissau,At least LTE/WiMAX,,,,,0.23,,
Guinea-Bissau,At least 5G,,,,,0.00,0.00,
Guyana,At least 2G,0.97,–,0.97,0.97,0.97,,
Guyana,At least 3G,0.93,–,0.93,0.93,0.93,,
Guyana,At least LTE/WiMAX,0.50,–,0.50,0.50,0.50,,
Guyana,At least 5G,,,,,0.00,,
Haiti,At least 2G,,,0.70,0.70,0.70,,
Haiti,At least 3G,0.40,0.60,0.60,0.60,0.60,,
Haiti,At least LTE/WiMAX,0.30,0.30,0.30,0.35,0.35,,
Haiti,At least 5G,,,,,0.00,,
Honduras,At least 2G,0.92,0.91,0.88,0.88,0.89,0.89,
Honduras,At least 3G,0.77,0.78,0.75,0.81,0.82,0.86,
Honduras,At least LTE/WiMAX,0.51,0.68,0.68,0.75,0.79,0.86,
Honduras,At least 5G,,,,0.00,0.00,0.00,
Hong Kong,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Hong Kong,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Hong Kong,At least LTE/WiMAX,0.99,0.99,0.99,0.99,0.99,0.99,
Hong Kong,At least 5G,,,,0.90,0.90,0.90,
Hungary,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Hungary,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Hungary,At least LTE/WiMAX,0.99,0.99,0.99,0.99,0.99,0.99,
Hungary,At least 5G,,,,,0.25,0.58,
Iceland,At least 2G,0.99,0.99,0.99,1.00,1.00,1.00,
Iceland,At least 3G,0.99,0.99,0.99,1.00,1.00,1.00,
Iceland,At least LTE/WiMAX,0.98,0.98,0.99,1.00,1.00,1.00,
Iceland,At least 5G,,,,0.51,0.85,0.95,
India,At least 2G,0.97,0.97,0.99,0.99,0.99,0.99,
India,At least 3G,0.88,0.94,0.98,0.99,0.99,0.99,
India,At least LTE/WiMAX,0.88,0.94,0.98,0.99,0.99,0.99,
India,At least 5G,,,,,0.00,,
Indonesia,At least 2G,0.99,0.99,0.99,0.98,0.98,0.99,
Indonesia,At least 3G,0.94,0.98,0.97,0.96,0.96,0.97,
Indonesia,At least LTE/WiMAX,0.90,0.98,0.98,0.96,0.96,0.97,
Indonesia,At least 5G,,,,,0.05,,
Iran,At least 2G,0.97,0.97,0.97,0.97,0.97,0.97,
Iran,At least 3G,0.77,0.79,0.85,0.85,0.85,0.85,
Iran,At least LTE/WiMAX,0.74,0.76,0.81,0.81,0.81,0.81,
Iran,At least 5G,,0.00,0.00,0.00,0.00,0.00,
Iraq,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Iraq,At least 3G,0.86,0.95,0.97,0.97,0.97,0.98,
Iraq,At least LTE/WiMAX,0.00,0.00,0.00,0.95,0.96,0.97,
Iraq,At least 5G,,,,,0.00,0.00,
Ireland,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Ireland,At least 3G,0.95,0.95,0.95,0.95,0.95,0.95,
Ireland,At least LTE/WiMAX,0.90,0.90,0.90,0.90,0.90,0.90,
Ireland,At least 5G,,,,,0.79,0.79,
Israel,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Israel,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Israel,At least LTE/WiMAX,0.82,0.90,0.94,0.97,0.97,,
Israel,At least 5G,,,,,0.30,,
Italy,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Italy,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Italy,At least LTE/WiMAX,0.98,0.99,1.00,1.00,1.00,1.00,
Italy,At least 5G,,,,,,0.30,
Jamaica,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Jamaica,At least 3G,0.95,0.98,0.99,0.99,0.99,0.99,
Jamaica,At least LTE/WiMAX,0.45,0.73,0.94,0.97,0.98,0.99,
Jamaica,At least 5G,,,,,0.00,,
